customer_id,last_purchase,previous_spend,mens,womens,customer_location,newbie,channel,campaign,dm_campaign
1,5/26/2018,142.44,1,0,Suburbs,0,Mobile,10,
6,9/26/2018,134.83,0,1,Suburbs,0,Mobile,10,
7,6/26/2018,280.2,1,0,Suburbs,1,Mobile,10,
8,6/26/2018,46.42,0,1,Urban,0,Mobile,10,
9,6/26/2018,675.07,1,1,Rural,1,Mobile,15,
11,8/26/2018,548.91,0,1,Urban,1,Mobile,10,
12,2/26/2019,211.45,0,1,Urban,1,Mobile,10,
13,10/26/2018,642.9,0,1,Suburbs,1,Multichannel,10,
15,11/26/2018,241.42,0,1,Rural,1,Multichannel,0,
17,10/26/2018,29.99,1,0,Suburbs,0,Mobile,15,
19,4/26/2018,219.04,1,1,Suburbs,0,Mobile,15,
20,10/26/2018,828.42,1,0,Suburbs,1,Multichannel,15,
21,6/26/2018,29.99,0,1,Suburbs,1,Mobile,0,
22,4/26/2018,182.32,1,0,Suburbs,0,Mobile,15,
24,1/26/2019,29.99,0,1,Urban,1,Mobile,0,
27,3/26/2018,115.39,0,1,Suburbs,0,Mobile,15,
31,1/26/2019,237.53,0,1,Suburbs,0,Mobile,10,
34,6/26/2018,29.99,1,0,Suburbs,1,Mobile,15,
36,11/26/2018,218.72,0,1,Urban,0,Multichannel,10,
38,11/26/2018,766.47,1,1,Urban,1,Multichannel,15,
39,5/26/2018,63.79,1,0,Rural,1,Mobile,10,
41,4/26/2018,236.97,1,1,Urban,1,Mobile,15,
44,1/26/2019,492.02,1,0,Suburbs,0,Mobile,0,
46,5/26/2018,29.99,1,0,Suburbs,0,Mobile,0,
49,12/26/2018,134.59,1,0,Urban,1,Mobile,10,
53,8/26/2018,29.99,0,1,Urban,1,Mobile,15,
55,3/26/2018,150.06,0,1,Suburbs,0,Mobile,0,
57,3/26/2018,69.08,0,1,Rural,0,Mobile,10,
58,12/26/2018,549.29,1,0,Suburbs,1,Multichannel,0,
59,6/26/2018,506.83,1,0,Rural,1,Multichannel,15,
60,12/26/2018,143.93,0,1,Suburbs,0,Mobile,10,
61,5/26/2018,115.4,1,0,Urban,0,Mobile,15,
62,1/26/2019,96.91,1,0,Suburbs,0,Mobile,10,
63,9/26/2018,40.07,1,0,Suburbs,1,Mobile,15,
64,4/26/2018,417.21,0,1,Urban,0,Mobile,0,
65,6/26/2018,61.57,1,0,Suburbs,1,Mobile,10,
66,10/26/2018,222.07,0,1,Suburbs,0,Mobile,10,
68,4/26/2018,53.81,1,0,Urban,1,Mobile,0,
70,5/26/2018,1009.44,1,0,Suburbs,1,Multichannel,10,
72,5/26/2018,31.12,1,0,Urban,0,Mobile,10,
73,1/26/2019,428.74,1,0,Rural,0,Mobile,15,
74,8/26/2018,612.28,1,0,Suburbs,1,Mobile,10,
76,2/26/2019,640.58,0,1,Urban,1,Mobile,15,
77,11/26/2018,194.11,1,0,Urban,0,Mobile,0,
79,8/26/2018,235.14,0,1,Urban,1,Mobile,15,
80,1/26/2019,29.99,0,1,Suburbs,0,Mobile,15,
83,10/26/2018,494.26,1,1,Suburbs,1,Mobile,15,
84,1/26/2019,809.07,1,0,Urban,1,Mobile,15,
85,2/26/2019,80.42,0,1,Urban,1,Mobile,10,
87,1/26/2019,82.59,1,0,Suburbs,0,Mobile,10,
89,12/26/2018,101.61,0,1,Suburbs,1,Mobile,0,
91,9/26/2018,466.29,1,0,Urban,1,Multichannel,15,
92,12/26/2018,100.85,1,0,Urban,1,Mobile,15,
93,12/26/2018,1397.57,1,0,Suburbs,1,Multichannel,15,
94,1/26/2019,770.58,0,1,Suburbs,1,Mobile,15,
95,12/26/2018,1973.87,1,0,Suburbs,1,Multichannel,0,
98,2/26/2019,47.44,0,1,Urban,0,Mobile,10,
101,4/26/2018,189.25,0,1,Urban,1,Mobile,0,
103,7/26/2018,66.14,1,0,Suburbs,1,Mobile,0,
107,4/26/2018,146.04,0,1,Suburbs,1,Mobile,15,
109,1/26/2019,66.6,1,0,Urban,1,Mobile,10,
111,11/26/2018,54.41,0,1,Urban,1,Mobile,10,
