customer_id,last_purchase,previous_spend,mens,womens,customer_location,newbie,channel,campaign,dm_campaign
2,9/26/2018,329.08,1,1,Rural,1,Web,0,1
3,8/26/2018,180.65,0,1,Suburban,1,Web,10,
4,6/26/2018,675.83,1,0,Rural,1,Web,15,
5,1/26/2019,45.34,1,0,Urban,0,Web,10,
10,5/26/2018,32.84,0,1,Urban,1,Web,10,
13,10/26/2018,642.9,0,1,Suburban,1,Multichannel,10,
14,1/26/2019,101.64,0,1,Urban,0,Web,15,
15,11/26/2018,241.42,0,1,Rural,1,Multichannel,0,
16,12/26/2018,58.13,1,0,Urban,1,Web,0,
18,6/26/2018,112.35,1,0,Rural,0,Web,15,
20,10/26/2018,828.42,1,0,Suburban,1,Multichannel,15,
23,1/26/2019,118.4,1,0,Suburban,0,Web,15,
25,11/26/2018,78.24,1,0,Suburban,0,Web,0,
26,9/26/2018,139.87,0,1,Rural,1,Web,15,
28,9/26/2018,162.98,0,1,Suburban,0,Web,15,
29,8/26/2018,435.73,0,1,Urban,1,Web,0,
30,1/26/2019,203.35,1,0,Rural,0,Web,0,
32,6/26/2018,334.24,1,0,Urban,0,Web,15,
33,9/26/2018,128.01,0,1,Urban,0,Web,15,
35,12/26/2018,29.99,1,0,Rural,0,Web,10,
36,11/26/2018,218.72,0,1,Urban,0,Multichannel,10,
37,2/26/2019,514.52,0,1,Suburban,1,Web,15,
38,11/26/2018,766.47,1,1,Urban,1,Multichannel,15,
40,8/26/2018,520.43,0,1,Suburban,1,Web,15,
42,12/26/2018,99.23,1,0,Rural,0,Web,15,
43,6/26/2018,204.18,0,1,Suburban,0,Web,10,
45,2/26/2019,48.32,0,1,Urban,0,Web,0,
47,1/26/2019,391.33,1,0,Suburban,0,Web,0,
48,2/26/2019,729.7,1,1,Suburban,1,Web,15,
50,5/26/2018,61.09,0,1,Suburban,0,Web,10,
51,12/26/2018,203.3,0,1,Suburban,0,Web,0,
52,6/26/2018,185.43,1,0,Urban,0,Web,15,
54,6/26/2018,78.62,1,0,Urban,0,Web,15,
56,9/26/2018,42.66,1,0,Suburban,0,Web,0,
58,12/26/2018,549.29,1,0,Suburban,1,Multichannel,0,
59,6/26/2018,506.83,1,0,Rural,1,Multichannel,15,
67,2/26/2019,259.91,0,1,Suburban,1,Web,0,
69,6/26/2018,154.15,0,1,Suburban,0,Web,15,
70,5/26/2018,1009.44,1,0,Suburban,1,Multichannel,10,
71,1/26/2019,278.8,1,0,Rural,0,Web,15,
75,4/26/2018,228.09,0,1,Suburban,1,Web,0,
78,8/26/2018,84.49,0,1,Urban,1,Web,0,3
81,8/26/2018,272.32,1,0,Suburban,1,Web,15,
82,1/26/2019,95.33,0,1,Suburban,0,Web,0,
86,5/26/2018,237.85,1,0,Urban,0,Web,10,
88,9/26/2018,165.77,0,1,Urban,0,Web,10,
90,7/26/2018,52.64,0,1,Suburban,1,Web,0,
91,9/26/2018,466.29,1,0,Urban,1,Multichannel,15,
93,12/26/2018,1397.57,1,0,Suburban,1,Multichannel,15,
95,12/26/2018,1973.87,1,0,Suburban,1,Multichannel,0,
96,12/26/2018,133.51,1,0,Urban,0,Web,15,
97,7/26/2018,31.52,0,1,Suburban,0,Web,15,
99,2/26/2019,106.27,0,1,Suburban,0,Web,10,
100,4/26/2018,215.46,0,1,Urban,0,Web,10,
102,5/26/2018,108.12,1,0,Urban,0,Web,10,
104,7/26/2018,98.56,1,0,Suburban,1,Web,10,
105,9/26/2018,129.14,1,0,Suburban,0,Web,10,
106,1/26/2019,493.17,0,1,Suburban,0,Web,10,
108,3/26/2018,29.99,0,1,Urban,1,Web,0,
110,3/26/2018,129.73,1,0,Suburban,0,Web,10,
112,6/26/2018,1172.42,1,1,Suburban,1,Web,15,
113,10/26/2018,244.34,0,1,Urban,1,Web,15,
115,11/26/2018,29.99,0,1,Urban,1,Web,10,
116,6/26/2018,151.01,1,0,Suburban,0,Web,0,
118,10/26/2018,84.17,1,0,Urban,1,Web,10,
121,10/26/2018,29.99,0,1,Suburban,0,Web,0,
122,12/26/2018,1167.93,1,1,Rural,1,Web,10,
123,12/26/2018,683.2,1,1,Rural,1,Multichannel,0,
124,2/26/2019,110.07,0,1,Urban,0,Web,15,
125,2/26/2019,102.94,1,0,Urban,0,Web,10,
126,1/26/2019,29.99,0,1,Urban,0,Web,15,
127,4/26/2018,160.04,1,0,Rural,0,Web,15,
128,2/26/2019,418.68,0,1,Suburban,0,Web,0,
133,4/26/2018,52.08,0,1,Urban,0,Web,10,
134,2/26/2019,616.73,0,1,Urban,1,Web,15,
137,1/26/2019,46.09,0,1,Urban,0,Web,0,
138,7/26/2018,48.87,1,0,Suburban,1,Web,15,
141,6/26/2018,228.8,1,0,Suburban,0,Multichannel,15,
143,4/26/2018,131.76,0,1,Suburban,1,Web,10,
147,12/26/2018,29.99,0,1,Urban,0,Web,10,
148,8/26/2018,59.96,1,0,Urban,1,Web,10,
149,8/26/2018,78.49,0,1,Rural,0,Web,10,
152,8/26/2018,229.53,1,0,Suburban,0,Web,15,
153,2/26/2019,439.93,1,1,Rural,1,Multichannel,0,
155,8/26/2018,29.99,1,0,Suburban,1,Web,10,
156,12/26/2018,57.33,0,1,Suburban,0,Web,10,
159,6/26/2018,274.29,1,0,Suburban,0,Web,0,
162,2/26/2019,407.09,1,0,Suburban,0,Web,0,
164,2/26/2019,29.99,0,1,Urban,1,Web,15,
165,3/26/2018,284.54,1,1,Suburban,0,Web,15,
166,1/26/2019,60.2,0,1,Suburban,1,Web,0,
167,11/26/2018,1089.77,1,0,Urban,1,Multichannel,15,
168,8/26/2018,29.99,1,0,Suburban,1,Web,10,
169,2/26/2019,747.31,0,1,Rural,1,Web,10,
170,9/26/2018,136.63,1,0,Urban,1,Web,10,
171,5/26/2018,29.99,1,0,Rural,1,Web,10,
172,4/26/2018,54.11,1,0,Urban,1,Web,10,5
173,2/26/2019,790.36,1,1,Urban,1,Multichannel,15,
174,11/26/2018,36.49,1,0,Urban,1,Web,0,
175,3/26/2018,271.89,1,0,Rural,0,Web,15,
176,10/26/2018,399.46,1,0,Suburban,0,Web,10,
180,1/26/2019,29.99,1,0,Urban,1,Web,10,
181,11/26/2018,292.61,1,0,Suburban,0,Multichannel,0,
182,1/26/2019,576.02,0,1,Suburban,1,Web,10,
183,9/26/2018,29.99,1,0,Suburban,0,Web,0,
184,6/26/2018,116.3,1,0,Rural,1,Web,15,
185,10/26/2018,29.99,1,0,Suburban,0,Web,0,
186,12/26/2018,29.99,0,1,Urban,1,Web,0,
187,8/26/2018,968.65,1,1,Suburban,1,Web,10,
188,8/26/2018,39.78,0,1,Suburban,0,Web,15,
189,6/26/2018,311.81,1,0,Urban,0,Multichannel,10,
192,3/26/2018,80.56,1,0,Urban,0,Web,10,
193,2/26/2019,301.19,1,0,Suburban,1,Web,0,
194,5/26/2018,307.64,0,1,Urban,0,Multichannel,15,
195,8/26/2018,481.56,1,0,Suburban,0,Web,15,
196,5/26/2018,29.99,0,1,Suburban,0,Web,0,
197,2/26/2019,895.43,0,1,Suburban,1,Web,10,
199,5/26/2018,36.28,1,0,Urban,1,Web,0,
203,2/26/2019,150.93,1,0,Suburban,0,Web,0,
205,2/26/2019,506.51,1,0,Urban,1,Multichannel,0,
206,7/26/2018,575.62,1,1,Urban,1,Multichannel,15,
207,12/26/2018,29.99,0,1,Suburban,0,Web,10,
208,1/26/2019,145.76,0,1,Suburban,1,Web,0,
210,7/26/2018,428,1,0,Suburban,1,Multichannel,0,
213,11/26/2018,370.86,0,1,Suburban,0,Multichannel,10,
214,7/26/2018,138.62,0,1,Urban,1,Web,10,
215,8/26/2018,29.99,1,0,Suburban,1,Web,15,
216,2/26/2019,209.98,1,0,Suburban,0,Web,0,
217,12/26/2018,166,0,1,Urban,0,Web,0,
221,11/26/2018,356.73,0,1,Suburban,0,Web,0,
224,9/26/2018,277.81,1,0,Suburban,1,Multichannel,0,
225,2/26/2019,181.98,0,1,Urban,1,Web,15,
226,1/26/2019,112.13,1,0,Urban,1,Web,10,
227,10/26/2018,29.99,0,1,Rural,1,Web,0,
228,10/26/2018,439.26,1,0,Suburban,0,Multichannel,10,
229,7/26/2018,64.16,0,1,Suburban,0,Web,10,
230,10/26/2018,29.99,0,1,Suburban,0,Web,0,
231,9/26/2018,29.99,0,1,Urban,1,Web,15,
232,1/26/2019,591.95,0,1,Urban,1,Multichannel,10,
234,12/26/2018,65.26,1,0,Urban,0,Web,15,3
236,11/26/2018,225.89,1,1,Rural,1,Web,10,
237,1/26/2019,115.56,0,1,Suburban,1,Web,0,
239,8/26/2018,69.44,1,0,Rural,0,Web,15,
241,2/26/2019,215.08,0,1,Suburban,0,Web,10,
242,1/26/2019,224.89,1,1,Urban,0,Multichannel,0,
244,10/26/2018,354.03,1,0,Urban,0,Web,15,
245,5/26/2018,151.43,1,0,Urban,0,Web,0,
246,4/26/2018,120.14,1,0,Urban,0,Web,15,
248,10/26/2018,290.86,1,0,Urban,1,Web,0,
250,4/26/2018,81.06,1,0,Urban,0,Web,15,
251,5/26/2018,55.11,1,0,Urban,1,Web,15,
252,2/26/2019,513.83,0,1,Suburban,1,Multichannel,15,
253,11/26/2018,770.38,0,1,Rural,1,Multichannel,0,
254,2/26/2019,33.5,1,0,Suburban,0,Web,15,
