customer_id,conversion,spend
1,0,0
6,1,2009.94
7,1,2712.08
8,0,0
9,1,1170.09
11,1,2308.8
12,1,612.55
17,0,0
19,1,2188.06
21,0,0
22,0,0
24,0,0
27,1,403.74
31,1,3012.5
34,0,0
39,0,0
41,1,2247.63
44,1,2515.28
46,0,0
49,1,1816.08
53,0,0
55,0,0
57,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,1,1012.97
65,0,0
66,1,1581.76
68,0,0
72,0,0
73,1,3158.95
74,1,2038.66
76,1,2797.21
77,0,0
79,1,1364.72
80,0,0
83,1,799.31
84,1,1753.05
85,0,0
87,0,0
89,0,0
92,0,0
94,1,133.9
98,0,0
101,0,0
103,0,0
107,0,0
109,0,0
111,0,0
114,1,1626.31
117,0,0
119,1,2920.47
120,0,0
129,1,379.86
130,1,2488.67
131,1,1775.84
132,0,0
135,0,0
136,1,1661.39
139,0,0
140,1,3252.38
142,0,0
144,1,2178.43
145,0,0
146,0,0
150,0,0
151,1,1902.71
154,1,3075.04
157,1,262.25
158,1,1727.48
160,1,813.96
161,0,0
163,0,0
177,1,538.88
178,0,0
179,1,78.42
190,1,1992.74
191,0,0
198,1,2460.49
200,1,1495.97
201,0,0
202,0,0
204,1,2635.55
209,0,0
211,1,314.87
212,0,0
218,1,29.99
219,1,1195.19
220,0,0
222,0,0
223,1,2570.59
233,0,0
235,0,0
238,0,0
240,0,0
243,1,161.58
247,1,854.54
249,1,2462.13
255,0,0
257,1,1162.56
258,0,0
259,1,2392.12
260,0,0
267,0,0
268,1,264.66
269,0,0
271,0,0
272,1,1703.22
273,0,0
275,0,0
282,0,0
283,0,0
285,1,1191.49
286,1,552.53
287,1,2703.87
291,0,0
292,1,2782.55
294,0,0
299,0,0
301,0,0
302,1,1296.6
305,1,2432.78
306,0,0
307,1,2190.61
314,0,0
315,1,2483.64
324,1,978.49
325,0,0
329,0,0
330,0,0
332,1,1465.62
334,0,0
341,1,2986.14
342,1,1559.34
344,1,2409.72
345,1,3067.61
346,1,1953.27
349,0,0
350,0,0
351,0,0
355,1,2057.15
358,0,0
360,1,647.8
361,0,0
363,1,1566.39
365,0,0
366,1,741.23
367,0,0
370,0,0
372,0,0
374,1,3261.72
376,0,0
378,1,2830.09
379,0,0
380,1,147.91
381,1,1429.72
382,0,0
388,0,0
391,0,0
394,0,0
396,0,0
397,0,0
398,0,0
403,0,0
405,1,1745.76
406,0,0
409,0,0
411,0,0
413,0,0
418,0,0
420,1,200.4
422,1,28.04
423,0,0
424,0,0
427,1,2942.76
428,1,1354.2
431,1,2854.58
432,0,0
435,1,771.96
437,0,0
439,0,0
441,0,0
444,0,0
446,1,703.04
448,1,2470.62
449,0,0
450,1,1322.77
451,0,0
453,0,0
455,0,0
456,1,994.07
457,0,0
458,0,0
465,1,24.96
466,0,0
469,0,0
471,1,1134.93
472,0,0
474,0,0
475,0,0
476,0,0
478,1,2419.26
482,0,0
487,0,0
488,0,0
489,1,2532.06
491,0,0
